,PassengerId,Name,SibSp,Parch,Fare,Cabin,Embarked
390,1282,"Payne, Mr. Vivian Ponsonby",0,0,93.5,B24,S
391,1283,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",0,1,39.4,D28,S
392,1284,"Abbott, Master. Eugene Joseph",0,2,20.25,,S
393,1285,"Gilbert, Mr. William",0,0,10.5,,S
394,1286,"Kink-Heilmann, Mr. Anton",3,1,22.025,,S
395,1287,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",1,0,60.0,C31,S
396,1288,"Colbert, Mr. Patrick",0,0,7.25,,Q
397,1289,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",1,1,79.2,B41,C
398,1290,"Larsson-Rondberg, Mr. Edvard A",0,0,7.775,,S
399,1291,"Conlon, Mr. Thomas Henry",0,0,7.7333,,Q
400,1292,"Bonnell, Miss. Caroline",0,0,164.8667,C7,S
401,1293,"Gale, Mr. Harry",1,0,21.0,,S
402,1294,"Gibson, Miss. Dorothy Winifred",0,1,59.4,,C
403,1295,"Carrau, Mr. Jose Pedro",0,0,47.1,,S
404,1296,"Frauenthal, Mr. Isaac Gerald",1,0,27.7208,D40,C
405,1297,"Nourney, Mr. Alfred (Baron von Drachstedt"")""",0,0,13.8625,D38,C
406,1298,"Ware, Mr. William Jeffery",1,0,10.5,,S
407,1299,"Widener, Mr. George Dunton",1,1,211.5,C80,C
408,1300,"Riordan, Miss. Johanna Hannah""""",0,0,7.7208,,Q
409,1301,"Peacock, Miss. Treasteall",1,1,13.775,,S
410,1302,"Naughton, Miss. Hannah",0,0,7.75,,Q
411,1303,"Minahan, Mrs. William Edward (Lillian E Thorpe)",1,0,90.0,C78,Q
412,1304,"Henriksson, Miss. Jenny Lovisa",0,0,7.775,,S
413,1305,"Spector, Mr. Woolf",0,0,8.05,,S
414,1306,"Oliva y Ocana, Dona. Fermina",0,0,108.9,C105,C
415,1307,"Saether, Mr. Simon Sivertsen",0,0,7.25,,S
416,1308,"Ware, Mr. Frederick",0,0,8.05,,S
417,1309,"Peter, Master. Michael J",1,1,22.3583,,C
